"item_id","event_id","product_id","store_id","hide","num_has","num_wants","priority","added_at","descr","buy_request","sku_product_id","num_total","num_user_set"
"1022","156","3993","0","0","0","1","0","2015-01-14 23:21:50",,"a:5:{s:7:""product"";s:4:""3993"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3993","0","0"
"1023","156","3978","0","0","1","1","1","2015-01-14 23:22:39",,"a:5:{s:7:""product"";s:4:""3978"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3978","1","0"
"1025","156","3981","0","0","1","1","0","2015-01-14 23:24:23",,"a:5:{s:7:""product"";s:4:""3981"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3981","1","1"
"1026","156","3989","0","0","12","12","1","2015-01-14 23:26:25",,"a:5:{s:7:""product"";s:4:""3989"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:2:""12"";s:9:""gift_next"";s:0:"""";}","3989","12","0"
"1027","156","3977","0","0","0","1","0","2015-01-14 23:29:04",,"a:5:{s:7:""product"";s:4:""3977"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3977","0","0"
"1028","156","3976","0","0","0","1","0","2015-01-14 23:29:42",,"a:5:{s:7:""product"";s:4:""3976"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3976","0","0"
"1029","167","339","0","0","0","3","0","2015-01-15 03:03:38",,"a:6:{s:7:""product"";s:3:""339"";s:8:""form_key"";s:16:""BI7SvBFGD9tjk90t"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:2:""80"";}s:3:""qty"";s:1:""3"";s:9:""gift_next"";s:0:"""";}","336","0","0"
"1030","167","3950","0","0","6","12","0","2015-01-15 03:12:03",,"a:5:{s:7:""product"";s:4:""3950"";s:8:""form_key"";s:16:""BI7SvBFGD9tjk90t"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""8"";s:9:""gift_next"";s:0:"""";}","3950","6","2"
"1031","167","949","0","0","0","1","0","2015-01-15 03:32:41",,"a:5:{s:7:""product"";s:3:""949"";s:8:""form_key"";s:16:""BI7SvBFGD9tjk90t"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","949","0","0"
"1032","158","381","0","0","1","1","0","2015-01-15 19:17:31",,"a:6:{s:7:""product"";s:3:""381"";s:8:""form_key"";s:16:""3XpzIVqMYEltsq2F"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:2:""84"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","4000","1","0"
